User country,Score,Traveler type,Pool,Gym,Tennis court,Spa,Casino,Free internet,Name,Stars,Rooms
Phillippines,3,Couples,YES,YES,YES,YES,YES,YES,Tropicana Las Vegas,4,1467
Israel,3,Business,YES,YES,YES,YES,YES,YES,Tropicana Las Vegas,4,1467
Canada,4,Business,YES,YES,YES,YES,YES,YES,Tropicana Las Vegas,4,1467
UK,4,Couples,YES,YES,YES,YES,YES,YES,Tropicana Las Vegas,4,1467
Ireland,5,Couples,YES,YES,YES,YES,YES,YES,Tropicana Las Vegas,4,1467
India,4,Business,YES,YES,YES,YES,YES,YES,Tropicana Las Vegas,4,1467
New Zeland,4,Couples,YES,YES,YES,YES,YES,YES,Tropicana Las Vegas,4,1467
Belgium,3,Friends,YES,YES,YES,YES,YES,YES,Tropicana Las Vegas,4,1467
UK,4,Business,YES,YES,YES,YES,YES,YES,Tropicana Las Vegas,4,1467
Australia,4,Friends,YES,YES,YES,YES,YES,YES,Tropicana Las Vegas,4,1467
UK,4,Solo,YES,YES,YES,YES,YES,YES,Tropicana Las Vegas,4,1467
UK,4,Couples,YES,YES,YES,YES,YES,YES,Tropicana Las Vegas,4,1467
New Zeland,5,Friends,YES,YES,YES,YES,YES,YES,Tropicana Las Vegas,4,1467
Australia,5,Couples,YES,YES,YES,YES,YES,YES,Tropicana Las Vegas,4,1467
Canada,1,Couples,YES,YES,YES,YES,YES,YES,Tropicana Las Vegas,4,1467
Australia,5,Couples,YES,YES,YES,YES,YES,YES,Tropicana Las Vegas,4,1467
UK,5,Friends,YES,YES,YES,YES,YES,YES,Tropicana Las Vegas,4,1467
USA,2,Friends,YES,YES,YES,YES,YES,YES,Tropicana Las Vegas,4,1467
India,4,Solo,YES,YES,YES,YES,YES,YES,Tropicana Las Vegas,4,1467
Puerto Rico,5,Families,YES,YES,NO,YES,YES,YES,Caesars Palace,5,3348
Canada,5,Families,YES,YES,NO,YES,YES,YES,Caesars Palace,5,3348
USA,5,Families,YES,YES,NO,YES,YES,YES,Caesars Palace,5,3348
USA,3,Families,YES,YES,NO,YES,YES,YES,Caesars Palace,5,3348
Canada,5,Couples,YES,YES,NO,YES,YES,YES,Caesars Palace,5,3348
USA,4,Couples,YES,YES,NO,YES,YES,YES,Caesars Palace,5,3348
UK,1,Couples,YES,YES,NO,YES,YES,YES,Caesars Palace,5,3348
UK,a,Couples,YES,YES,NO,YES,YES,YES,Caesars Palace,5,3348
USA,4,Couples,YES,YES,NO,YES,YES,YES,Caesars Palace,5,3348
USA,1,Solo,YES,YES,NO,YES,YES,YES,Caesars Palace,5,3348
USA,5,Couples,YES,YES,NO,YES,YES,YES,Caesars Palace,5,3348
UK,3,Families,YES,YES,NO,YES,YES,YES,Caesars Palace,5,3348
UK,5,Families,YES,YES,NO,YES,YES,YES,Caesars Palace,5,3348
Canada,4,Friends,YES,YES,NO,YES,YES,YES,Caesars Palace,5,3348
USA,5,Couples,YES,YES,NO,YES,YES,YES,Caesars Palace,5,3348
USA,5,Couples,YES,YES,NO,YES,YES,YES,Caesars Palace,5,3348
USA,5,Business,YES,YES,NO,YES,YES,YES,Caesars Palace,5,3348
USA,5,Friends,YES,YES,NO,YES,YES,YES,Caesars Palace,5,3348
Australia,5,Couples,YES,YES,NO,YES,YES,YES,Caesars Palace,5,3348
Australia,3,Families,YES,YES,NO,YES,YES,YES,Caesars Palace,5,3348
USA,4,Families,YES,YES,NO,YES,YES,YES,Caesars Palace,5,3348
USA,4,Couples,YES,YES,NO,YES,YES,YES,Caesars Palace,5,3348
Australia,4,Friends,YES,YES,NO,YES,YES,YES,The Cosmopolitan,5,2959
Australia,5,Friends,YES,YES,NO,YES,YES,YES,The Cosmopolitan,5,2959
Switzerland,4,Friends,YES,YES,NO,YES,YES,YES,The Cosmopolitan,5,2959
UK,5,Couples,YES,YES,NO,YES,YES,YES,The Cosmopolitan,5,2959
USA,5,Couples,YES,YES,NO,YES,YES,YES,The Cosmopolitan,5,2959
USA,5,Couples,YES,YES,NO,YES,YES,YES,The Cosmopolitan,5,2959
Ireland,4,Friends,YES,YES,NO,YES,YES,YES,The Cosmopolitan,5,2959
USA,5,Business,YES,YES,NO,YES,YES,YES,The Cosmopolitan,5,2959
Germany,5,Families,YES,YES,NO,YES,YES,YES,The Cosmopolitan,5,2959
USA,2,Business,YES,YES,NO,YES,YES,YES,The Cosmopolitan,5,2959
Germany,2,Couples,YES,YES,NO,YES,YES,YES,The Cosmopolitan,5,2959
Ireland,5,Friends,YES,YES,NO,YES,YES,YES,The Cosmopolitan,5,2959
Australia,4,Friends,YES,YES,NO,YES,YES,YES,The Cosmopolitan,5,2959
Canada,5,Families,YES,YES,NO,YES,YES,YES,The Cosmopolitan,5,2959
USA,4,Couples,YES,YES,NO,YES,YES,YES,The Cosmopolitan,5,2959
UK,5,Couples,YES,YES,NO,YES,YES,YES,The Cosmopolitan,5,2959
Norway,5,Couples,YES,YES,NO,YES,YES,YES,The Cosmopolitan,5,2959
USA,5,Couples,YES,YES,NO,YES,YES,YES,The Cosmopolitan,5,2959
UK,5,Friends,YES,YES,NO,YES,YES,YES,The Cosmopolitan,5,2959
Egypt,5,Business,YES,YES,NO,YES,YES,YES,The Cosmopolitan,5,2959
USA,5,Business,YES,YES,NO,YES,YES,YES,The Cosmopolitan,5,2959
Canada,2,Couples,YES,YES,NO,YES,YES,YES,The Cosmopolitan,5,2959
USA,5,Families,YES,YES,NO,YES,YES,YES,The Cosmopolitan,5,2959
Mexico,3,Couples,YES,YES,NO,YES,YES,YES,The Palazzo,5,3025
USA,5,Families,YES,YES,NO,YES,YES,YES,The Palazzo,5,3025
Canada,5,Couples,YES,YES,NO,YES,YES,YES,The Palazzo,5,3025
USA,4,Couples,YES,YES,NO,YES,YES,YES,The Palazzo,5,3025
Canada,5,Families,YES,YES,NO,YES,YES,YES,The Palazzo,5,3025
Canada,5,Families,YES,YES,NO,YES,YES,YES,The Palazzo,5,3025
USA,4,Couples,YES,YES,NO,YES,YES,YES,The Palazzo,5,3025
Spain,4,Friends,YES,YES,NO,YES,YES,YES,The Palazzo,5,3025
USA,5,Families,YES,YES,NO,YES,YES,YES,The Palazzo,5,3025
UK,4,Friends,YES,YES,NO,YES,YES,YES,The Palazzo,5,3025
USA,4,Business,YES,YES,NO,YES,YES,YES,The Palazzo,5,3025
UK,3,Friends,YES,YES,NO,YES,YES,YES,The Palazzo,5,3025
USA,5,Families,YES,YES,NO,YES,YES,YES,The Palazzo,5,3025
Canada,5,Families,YES,YES,NO,YES,YES,YES,The Palazzo,5,3025
Australia,5,Couples,YES,YES,NO,YES,YES,YES,The Palazzo,5,3025
Singapore,5,Friends,YES,YES,NO,YES,YES,YES,The Palazzo,5,3025
Brazil,3,Families,YES,YES,NO,YES,YES,YES,The Palazzo,5,3025
USA,5,Couples,YES,YES,NO,YES,YES,YES,The Palazzo,5,3025
USA,4,Families,YES,YES,NO,YES,YES,YES,The Palazzo,5,3025
USA,5,Couples,YES,YES,YES,YES,YES,YES,Wynn,5,2700
USA,5,Families,YES,YES,YES,YES,YES,YES,Wynn,5,2700
Canada,4,Couples,YES,YES,YES,YES,YES,YES,Wynn,5,2700
USA,5,Couples,YES,YES,YES,YES,YES,YES,Wynn,5,2700
USA,5,Friends,YES,YES,YES,YES,YES,YES,Wynn,5,2700
USA,4,Business,YES,YES,YES,YES,YES,YES,Wynn,5,2700
USA,5,Business,YES,YES,YES,YES,YES,YES,Wynn,5,2700
USA,4,Couples,YES,YES,YES,YES,YES,YES,Wynn,5,2700
Singapore,3,Solo,YES,YES,YES,YES,YES,YES,Wynn,5,2700
UK,5,Couples,YES,YES,YES,YES,YES,YES,Wynn,5,2700
USA,5,Couples,YES,YES,YES,YES,YES,YES,Wynn,5,2700
USA,5,Couples,YES,YES,YES,YES,YES,YES,Wynn,5,2700
USA,5,Couples,YES,YES,YES,YES,YES,YES,Wynn,5,2700
Canada,5,Couples,YES,YES,YES,YES,YES,YES,Wynn,5,2700
Canada,5,Couples,YES,YES,YES,YES,YES,YES,Wynn,5,2700
Canada,5,Friends,YES,YES,YES,YES,YES,YES,Wynn,5,2700
USA,4,Couples,YES,YES,YES,YES,YES,YES,Wynn,5,2700
UK,5,Couples,YES,YES,YES,YES,YES,YES,Wynn,5,2700
Costa Rica,5,Business,YES,YES,YES,YES,YES,YES,Wynn,5,2700
UK,5,Couples,YES,YES,YES,YES,YES,YES,Wynn,5,2700
UK,5,Couples,YES,YES,YES,YES,YES,YES,Wynn,5,2700
USA,5,Couples,YES,YES,YES,YES,YES,YES,Wynn,5,2700
Saudi Arabia,3,Business,YES,NO,NO,NO,YES,YES,The Cromwell,4,5
USA,4,Business,YES,NO,NO,NO,YES,YES,The Cromwell,4,5
USA,5,Families,YES,NO,NO,NO,YES,YES,The Cromwell,4,5
USA,5,Couples,YES,NO,NO,NO,YES,YES,The Cromwell,4,5
USA,2,Solo,YES,NO,NO,NO,YES,YES,The Cromwell,4,5
USA,5,Friends,YES,NO,NO,NO,YES,YES,The Cromwell,4,5
Canada,5,Couples,YES,NO,NO,NO,YES,YES,The Cromwell,4,5
Canada,2,Families,YES,NO,NO,NO,YES,YES,The Cromwell,4,5
USA,5,Friends,YES,NO,NO,NO,YES,YES,The Cromwell,4,5
USA,5,Couples,YES,NO,NO,NO,YES,YES,The Cromwell,4,5
USA,5,Friends,YES,NO,NO,NO,YES,YES,The Cromwell,4,5
USA,5,Couples,YES,NO,NO,NO,YES,YES,The Cromwell,4,5
USA,5,Couples,YES,NO,NO,NO,YES,YES,The Cromwell,4,5
USA,1,Friends,YES,NO,NO,NO,YES,YES,The Cromwell,4,5
Netherlands,5,Couples,YES,NO,NO,NO,YES,YES,The Cromwell,4,5
UK,4,Families,YES,NO,NO,NO,YES,YES,The Cromwell,4,5
USA,5,Couples,YES,NO,NO,NO,YES,YES,The Cromwell,4,5
Australia,4,Business,YES,NO,NO,NO,YES,YES,The Cromwell,4,5
USA,3,Families,YES,NO,NO,NO,YES,YES,The Cromwell,4,5
Norway,5,Friends,YES,NO,NO,NO,YES,YES,The Cromwell,4,5
Canada,3,Couples,YES,NO,NO,NO,YES,YES,The Cromwell,4,5
USA,4,Business,YES,NO,NO,NO,YES,YES,The Cromwell,4,5
Canada,4,Couples,YES,NO,NO,NO,YES,YES,The Cromwell,4,5
USA,4,Couples,YES,NO,NO,NO,YES,YES,The Cromwell,4,5
Thailand,1,Business,YES,YES,NO,YES,YES,YES,Encore,5,2034
USA,5,Couples,YES,YES,NO,YES,YES,YES,Encore,5,2034
UK,4,Couples,YES,YES,NO,YES,YES,YES,Encore,5,2034
USA,5,Business,YES,YES,NO,YES,YES,YES,Encore,5,2034
USA,5,Couples,YES,YES,NO,YES,YES,YES,Encore,5,2034
USA,4,Friends,YES,YES,NO,YES,YES,YES,Encore,5,2034
UK,3,Families,YES,YES,NO,YES,YES,YES,Encore,5,2034
Honduras,4,Friends,YES,YES,NO,YES,YES,YES,Encore,5,2034
USA,5,Business,YES,YES,NO,YES,YES,YES,Encore,5,2034
UK,5,Friends,YES,YES,NO,YES,YES,YES,Encore,5,2034
UK,5,Couples,YES,YES,NO,YES,YES,YES,Encore,5,2034
USA,4,Business,YES,YES,NO,YES,YES,YES,Encore,5,2034
USA,5,Friends,YES,YES,NO,YES,YES,YES,Encore,5,2034
USA,5,Families,YES,YES,NO,YES,YES,YES,Encore,5,2034
UK,5,Families,YES,YES,NO,YES,YES,YES,Encore,5,2034
USA,5,Families,YES,YES,NO,YES,YES,YES,Encore,5,2034
USA,5,Couples,YES,YES,NO,YES,YES,YES,Encore,5,2034
UK,5,Friends,YES,YES,NO,YES,YES,YES,Encore,5,2034
USA,5,Couples,YES,YES,NO,YES,YES,YES,Encore,5,2034
UK,4,Business,YES,YES,NO,YES,YES,YES,Encore,5,2034
India,5,Couples,YES,YES,NO,YES,YES,YES,Encore,5,2034
USA,5,Couples,YES,YES,NO,YES,YES,YES,Encore,5,2034
USA,5,Friends,YES,YES,NO,YES,YES,YES,Encore,5,2034
USA,5,Business,YES,YES,NO,YES,YES,YES,Encore,5,2034
USA,5,Couples,YES,YES,NO,YES,YES,YES,Hilton Grand,3,5
USA,2,Families,YES,YES,NO,YES,YES,YES,Hilton Grand,3,5
Mexico,5,Business,YES,YES,NO,YES,YES,YES,Hilton Grand,3,5
Canada,5,Couples,YES,YES,NO,YES,YES,YES,Hilton Grand,3,5
UK,5,Couples,YES,YES,NO,YES,YES,YES,Hilton Grand,3,5
Netherlands,4,Couples,YES,YES,NO,YES,YES,YES,Hilton Grand,3,5
Australia,4,Business,YES,YES,NO,YES,YES,YES,Hilton Grand,3,5
Canada,4,Families,YES,YES,NO,YES,YES,YES,Hilton Grand,3,5
Brazil,5,Families,YES,YES,NO,YES,YES,YES,Hilton Grand,3,5
USA,1,Couples,YES,YES,NO,YES,YES,YES,Hilton Grand,3,5
USA,5,Friends,YES,YES,NO,YES,YES,YES,Hilton Grand,3,5
USA,5,Solo,YES,YES,NO,YES,YES,YES,Hilton Grand,3,5
Finland,4,Families,YES,YES,NO,YES,YES,YES,Hilton Grand,3,5
UK,5,Families,YES,YES,NO,YES,YES,YES,Hilton Grand,3,5
USA,4,Couples,YES,YES,NO,YES,YES,YES,Hilton Grand,3,5
UK,5,Families,YES,YES,NO,YES,YES,YES,Hilton Grand,3,5
Canada,5,Families,YES,YES,NO,YES,YES,YES,Hilton Grand,3,5
USA,5,Solo,YES,YES,NO,YES,YES,YES,Hilton Grand,3,5
UK,2,Couples,YES,YES,NO,YES,YES,YES,Hilton Grand,3,5
USA,4,Business,YES,YES,NO,YES,YES,YES,Hilton Grand,3,5
USA,3,Families,YES,YES,NO,YES,YES,YES,Hilton Grand,3,5
Mexico,4,Families,YES,YES,NO,YES,YES,YES,Hilton Grand,3,5
USA,5,Couples,YES,YES,NO,YES,YES,YES,Hilton Grand,3,5
Australia,4,Couples,YES,YES,NO,YES,YES,YES,Hilton Grand,3,5
Canada,4,Business,YES,YES,NO,NO,YES,YES,Marriott,3,5
USA,4,Business,YES,YES,NO,NO,YES,YES,Marriott,3,5
USA,5,Families,YES,YES,NO,NO,YES,YES,Marriott,3,5
USA,5,Business,YES,YES,NO,NO,YES,YES,Marriott,3,5
UK,4,Friends,YES,YES,NO,NO,YES,YES,Marriott,3,5
Germany,5,Business,YES,YES,NO,NO,YES,YES,Marriott,3,5
Canada,5,Couples,YES,YES,NO,NO,YES,YES,Marriott,3,5
USA,4,Couples,YES,YES,NO,NO,YES,YES,Marriott,3,5
Australia,4,Couples,YES,YES,NO,NO,YES,YES,Marriott,3,5
Canada,4,Business,YES,YES,NO,NO,YES,YES,Marriott,3,5
USA,5,Families,YES,YES,NO,NO,YES,YES,Marriott,3,5
Australia,5,Families,YES,YES,NO,NO,YES,YES,Marriott,3,5
USA,5,Couples,YES,YES,NO,NO,YES,YES,Marriott,3,5
Denmark,5,Couples,YES,YES,NO,NO,YES,YES,Marriott,3,5
Taiwan,5,Families,YES,YES,NO,NO,YES,YES,Marriott,3,5
Israel,5,Families,YES,YES,NO,NO,YES,YES,Marriott,3,5
Hawaii,5,Friends,YES,YES,NO,NO,YES,YES,Marriott,3,5
USA,5,Friends,YES,YES,NO,NO,YES,YES,Marriott,3,5
Thailand,3,Business,YES,YES,NO,NO,YES,YES,Marriott,3,5
Mexico,5,Families,YES,YES,NO,NO,YES,YES,Marriott,3,5
Kuwait,4,Couples,YES,YES,NO,NO,YES,YES,Marriott,3,5
Norway,4,Couples,YES,YES,NO,NO,YES,YES,Marriott,3,5
USA,5,Couples,YES,YES,NO,NO,YES,YES,Marriott,3,5
Germany,4,Families,YES,YES,NO,NO,YES,YES,Marriott,3,5
USA,5,Couples,YES,YES,YES,YES,YES,YES,Tuscany,3,716
USA,5,Friends,YES,YES,YES,YES,YES,YES,Tuscany,3,716
UK,3,Business,YES,YES,YES,YES,YES,YES,Tuscany,3,716
USA,5,Business,YES,YES,YES,YES,YES,YES,Tuscany,3,716
USA,5,Friends,YES,YES,YES,YES,YES,YES,Tuscany,3,716
USA,5,Couples,YES,YES,YES,YES,YES,YES,Tuscany,3,716
Brazil,5,Couples,YES,YES,YES,YES,YES,YES,Tuscany,3,716
USA,4,Couples,YES,YES,YES,YES,YES,YES,Tuscany,3,716
India,2,Families,YES,YES,YES,YES,YES,YES,Tuscany,3,716
USA,3,Business,YES,YES,YES,YES,YES,YES,Tuscany,3,716
Malaysia,5,Friends,YES,YES,YES,YES,YES,YES,Tuscany,3,716
USA,3,Couples,YES,YES,YES,YES,YES,YES,Tuscany,3,716
Germany,5,Couples,YES,YES,YES,YES,YES,YES,Tuscany,3,716
Canada,4,Business,YES,YES,YES,YES,YES,YES,Tuscany,3,716
Canada,3,Business,YES,YES,YES,YES,YES,YES,Tuscany,3,716
USA,4,Couples,YES,YES,YES,YES,YES,YES,Tuscany,3,716
Australia,5,Couples,YES,YES,YES,YES,YES,YES,Tuscany,3,716
USA,5,Couples,YES,YES,YES,YES,YES,YES,Tuscany,3,716
UK,3,Couples,YES,YES,YES,YES,YES,YES,Tuscany,3,716
Canada,5,Business,YES,YES,YES,YES,YES,YES,Tuscany,3,716
USA,4,Couples,YES,YES,YES,YES,YES,YES,Tuscany,3,716
USA,3,Business,YES,YES,YES,YES,YES,YES,Tuscany,3,716
Canada,5,Families,YES,YES,YES,YES,YES,YES,Tuscany,3,716
USA,5,Friends,YES,YES,YES,YES,YES,YES,Tuscany,3,716
USA,3,Business,YES,YES,NO,NO,NO,YES,Flamingo,3,315
USA,5,Couples,YES,YES,NO,NO,NO,YES,Flamingo,3,315
UK,2,Couples,YES,YES,NO,NO,NO,YES,Flamingo,3,315
USA,2,Families,YES,YES,NO,NO,NO,YES,Flamingo,3,315
USA,5,Friends,YES,YES,NO,NO,NO,YES,Flamingo,3,315
Hawaii,5,Couples,YES,YES,NO,NO,NO,YES,Flamingo,3,315
Hawaii,3,Families,YES,YES,NO,NO,NO,YES,Flamingo,3,315
Canada,3,Families,YES,YES,NO,NO,NO,YES,Flamingo,3,315
USA,3,Friends,YES,YES,NO,NO,NO,YES,Flamingo,3,315
Canada,3,Families,YES,YES,NO,NO,NO,YES,Flamingo,3,315
USA,5,Couples,YES,YES,NO,NO,NO,YES,Flamingo,3,315
Australia,4,Couples,YES,YES,NO,NO,NO,YES,Flamingo,3,315
USA,3,Families,YES,YES,NO,NO,NO,YES,Flamingo,3,315
Canada,5,Couples,YES,YES,NO,NO,NO,YES,Flamingo,3,315
USA,4,Families,YES,YES,NO,NO,NO,YES,Flamingo,3,315
USA,5,Families,YES,YES,NO,NO,NO,YES,Flamingo,3,315
Canada,5,Friends,YES,YES,NO,NO,NO,YES,Flamingo,3,315
USA,4,Business,YES,YES,NO,NO,NO,YES,Flamingo,3,315
Australia,4,Families,YES,YES,NO,NO,NO,YES,Flamingo,3,315
India,4,Couples,YES,YES,NO,NO,NO,YES,Flamingo,3,315
Czech Republic,4,Business,YES,YES,NO,NO,NO,YES,Flamingo,3,315
USA,5,Business,YES,YES,NO,NO,NO,YES,Flamingo,3,315
USA,4,Couples,YES,YES,NO,NO,NO,YES,Flamingo,3,315
Mexico,5,Families,YES,YES,NO,NO,NO,YES,Flamingo,3,315
USA,4,Friends,YES,YES,YES,NO,NO,YES,Wyndham,3,5
Australia,5,Families,YES,YES,YES,NO,NO,YES,Wyndham,3,5
USA,5,Couples,YES,YES,YES,NO,NO,YES,Wyndham,3,5
Canada,5,Couples,YES,YES,YES,NO,NO,YES,Wyndham,3,5
USA,5,Friends,YES,YES,YES,NO,NO,YES,Wyndham,3,5
USA,4,Couples,YES,YES,YES,NO,NO,YES,Wyndham,3,5
Canada,5,Families,YES,YES,YES,NO,NO,YES,Wyndham,3,5
USA,5,Couples,YES,YES,YES,NO,NO,YES,Wyndham,3,5
Australia,4,Families,YES,YES,YES,NO,NO,YES,Wyndham,3,5
USA,4,Business,YES,YES,YES,NO,NO,YES,Wyndham,3,5
UK,5,Couples,YES,YES,YES,NO,NO,YES,Wyndham,3,5
India,5,Families,YES,YES,YES,NO,NO,YES,Wyndham,3,5
UK,5,Families,YES,YES,YES,NO,NO,YES,Wyndham,3,5
USA,4,Friends,YES,YES,YES,NO,NO,YES,Wyndham,3,5
USA,3,Families,YES,YES,YES,NO,NO,YES,Wyndham,3,5
Canada,5,Couples,YES,YES,YES,NO,NO,YES,Wyndham,3,5
USA,5,Friends,YES,YES,YES,NO,NO,YES,Wyndham,3,5
USA,4,Business,YES,YES,YES,NO,NO,YES,Wyndham,3,5
